Month,ProductID,Product,UnitsSold
2023-01,23,USB Flash Drive,30
2023-02,23,USB Flash Drive,98
2023-03,23,USB Flash Drive,32
2023-04,23,USB Flash Drive,27
2023-05,23,USB Flash Drive,23
2023-06,23,USB Flash Drive,89
2023-07,23,USB Flash Drive,45
2023-08,23,USB Flash Drive,65
2023-09,23,USB Flash Drive,80
2023-10,23,USB Flash Drive,70
2023-11,23,USB Flash Drive,40
2023-12,23,USB Flash Drive,108
2024-01,23,USB Flash Drive,92
2024-02,23,USB Flash Drive,66
2024-03,23,USB Flash Drive,83
2024-04,23,USB Flash Drive,85
2024-05,23,USB Flash Drive,59
2024-06,23,USB Flash Drive,71
2024-07,23,USB Flash Drive,38
2024-08,23,USB Flash Drive,42
2024-09,23,USB Flash Drive,108
2024-10,23,USB Flash Drive,100
2024-11,23,USB Flash Drive,91
2024-12,23,USB Flash Drive,118
