Month,ProductID,Product,UnitsSold
2023-01,6,Tissues,100
2023-02,6,Tissues,83
2023-03,6,Tissues,92
2023-04,6,Tissues,98
2023-05,6,Tissues,99
2023-06,6,Tissues,55
2023-07,6,Tissues,119
2023-08,6,Tissues,128
2023-09,6,Tissues,47
2023-10,6,Tissues,122
2023-11,6,Tissues,110
2023-12,6,Tissues,59
2024-01,6,Tissues,110
2024-02,6,Tissues,106
2024-03,6,Tissues,87
2024-04,6,Tissues,88
2024-05,6,Tissues,120
2024-06,6,Tissues,57
2024-07,6,Tissues,97
2024-08,6,Tissues,37
2024-09,6,Tissues,35
2024-10,6,Tissues,105
2024-11,6,Tissues,90
2024-12,6,Tissues,79
