Month,ProductID,Product,UnitsSold
2023-01,19,Coffee,100
2023-02,19,Coffee,55
2023-03,19,Coffee,98
2023-04,19,Coffee,94
2023-05,19,Coffee,96
2023-06,19,Coffee,103
2023-07,19,Coffee,102
2023-08,19,Coffee,61
2023-09,19,Coffee,107
2023-10,19,Coffee,58
2023-11,19,Coffee,116
2023-12,19,Coffee,42
2024-01,19,Coffee,68
2024-02,19,Coffee,50
2024-03,19,Coffee,114
2024-04,19,Coffee,113
2024-05,19,Coffee,96
2024-06,19,Coffee,98
2024-07,19,Coffee,75
2024-08,19,Coffee,84
2024-09,19,Coffee,34
2024-10,19,Coffee,31
2024-11,19,Coffee,44
2024-12,19,Coffee,43
