Month,ProductID,Product,UnitsSold
2023-01,18,Tissues,95
2023-02,18,Tissues,118
2023-03,18,Tissues,97
2023-04,18,Tissues,102
2023-05,18,Tissues,103
2023-06,18,Tissues,79
2023-07,18,Tissues,34
2023-08,18,Tissues,36
2023-09,18,Tissues,103
2023-10,18,Tissues,95
2023-11,18,Tissues,80
2023-12,18,Tissues,123
2024-01,18,Tissues,105
2024-02,18,Tissues,90
2024-03,18,Tissues,79
2024-04,18,Tissues,76
2024-05,18,Tissues,49
2024-06,18,Tissues,63
2024-07,18,Tissues,126
2024-08,18,Tissues,55
2024-09,18,Tissues,69
2024-10,18,Tissues,106
2024-11,18,Tissues,87
2024-12,18,Tissues,88
