Month,ProductID,Product,UnitsSold
2023-01,17,Energy Drink,85
2023-02,17,Energy Drink,31
2023-03,17,Energy Drink,82
2023-04,17,Energy Drink,83
2023-05,17,Energy Drink,87
2023-06,17,Energy Drink,33
2023-07,17,Energy Drink,58
2023-08,17,Energy Drink,116
2023-09,17,Energy Drink,42
2023-10,17,Energy Drink,85
2023-11,17,Energy Drink,54
2023-12,17,Energy Drink,89
2024-01,17,Energy Drink,59
2024-02,17,Energy Drink,71
2024-03,17,Energy Drink,38
2024-04,17,Energy Drink,42
2024-05,17,Energy Drink,108
2024-06,17,Energy Drink,100
2024-07,17,Energy Drink,91
2024-08,17,Energy Drink,118
2024-09,17,Energy Drink,105
2024-10,17,Energy Drink,79
2024-11,17,Energy Drink,111
2024-12,17,Energy Drink,64
