Month,ProductID,Product,UnitsSold
2023-01,8,Lighter,50
2023-02,8,Lighter,121
2023-03,8,Lighter,55
2023-04,8,Lighter,48
2023-05,8,Lighter,49
2023-06,8,Lighter,99
2023-07,8,Lighter,72
2023-08,8,Lighter,107
2023-09,8,Lighter,33
2023-10,8,Lighter,73
2023-11,8,Lighter,128
2023-12,8,Lighter,47
2024-01,8,Lighter,122
2024-02,8,Lighter,118
2024-03,8,Lighter,105
2024-04,8,Lighter,79
2024-05,8,Lighter,111
2024-06,8,Lighter,64
2024-07,8,Lighter,56
2024-08,8,Lighter,92
2024-09,8,Lighter,66
2024-10,8,Lighter,83
2024-11,8,Lighter,85
2024-12,8,Lighter,59
