Month,ProductID,Product,UnitsSold
2023-01,5,Energy Drink,80
2023-02,5,Energy Drink,68
2023-03,5,Energy Drink,75
2023-04,5,Energy Drink,88
2023-05,5,Energy Drink,80
2023-06,5,Energy Drink,87
2023-07,5,Energy Drink,44
2023-08,5,Energy Drink,60
2023-09,5,Energy Drink,68
2023-10,5,Energy Drink,49
2023-11,5,Energy Drink,77
2023-12,5,Energy Drink,82
2024-01,5,Energy Drink,57
2024-02,5,Energy Drink,79
2024-03,5,Energy Drink,111
2024-04,5,Energy Drink,64
2024-05,5,Energy Drink,56
2024-06,5,Energy Drink,92
2024-07,5,Energy Drink,66
2024-08,5,Energy Drink,83
2024-09,5,Energy Drink,85
2024-10,5,Energy Drink,59
2024-11,5,Energy Drink,71
2024-12,5,Energy Drink,38
