Month,ProductID,Product,UnitsSold
2023-01,1,Snack Pack,150
2023-02,1,Snack Pack,79
2023-03,1,Snack Pack,120
2023-04,1,Snack Pack,145
2023-05,1,Snack Pack,125
2023-06,1,Snack Pack,115
2023-07,1,Snack Pack,117
2023-08,1,Snack Pack,88
2023-09,1,Snack Pack,79
2023-10,1,Snack Pack,45
2023-11,1,Snack Pack,45
2023-12,1,Snack Pack,65
2024-01,1,Snack Pack,80
2024-02,1,Snack Pack,110
2024-03,1,Snack Pack,78
2024-04,1,Snack Pack,121
2024-05,1,Snack Pack,102
2024-06,1,Snack Pack,68
2024-07,1,Snack Pack,50
2024-08,1,Snack Pack,114
2024-09,1,Snack Pack,113
2024-10,1,Snack Pack,96
2024-11,1,Snack Pack,98
2024-12,1,Snack Pack,75
