Month,ProductID,Product,UnitsSold
2023-01,12,Lip Balm,60
2023-02,12,Lip Balm,64
2023-03,12,Lip Balm,58
2023-04,12,Lip Balm,59
2023-05,12,Lip Balm,57
2023-06,12,Lip Balm,82
2023-07,12,Lip Balm,50
2023-08,12,Lip Balm,35
2023-09,12,Lip Balm,96
2023-10,12,Lip Balm,64
2023-11,12,Lip Balm,83
2023-12,12,Lip Balm,103
2024-01,12,Lip Balm,73
2024-02,12,Lip Balm,63
2024-03,12,Lip Balm,126
2024-04,12,Lip Balm,55
2024-05,12,Lip Balm,69
2024-06,12,Lip Balm,106
2024-07,12,Lip Balm,87
2024-08,12,Lip Balm,88
2024-09,12,Lip Balm,120
2024-10,12,Lip Balm,57
2024-11,12,Lip Balm,97
2024-12,12,Lip Balm,37
