Month,ProductID,Product,UnitsSold
2023-01,21,Hand Sanitizer,75
2023-02,21,Hand Sanitizer,100
2023-03,21,Hand Sanitizer,72
2023-04,21,Hand Sanitizer,73
2023-05,21,Hand Sanitizer,74
2023-06,21,Hand Sanitizer,93
2023-07,21,Hand Sanitizer,70
2023-08,21,Hand Sanitizer,40
2023-09,21,Hand Sanitizer,108
2023-10,21,Hand Sanitizer,102
2023-11,21,Hand Sanitizer,61
2023-12,21,Hand Sanitizer,107
2024-01,21,Hand Sanitizer,37
2024-02,21,Hand Sanitizer,35
2024-03,21,Hand Sanitizer,105
2024-04,21,Hand Sanitizer,90
2024-05,21,Hand Sanitizer,79
2024-06,21,Hand Sanitizer,76
2024-07,21,Hand Sanitizer,49
2024-08,21,Hand Sanitizer,63
2024-09,21,Hand Sanitizer,126
2024-10,21,Hand Sanitizer,55
2024-11,21,Hand Sanitizer,69
2024-12,21,Hand Sanitizer,106
