Month,ProductID,Product,UnitsSold
2023-01,2,Bottled Water,200
2023-02,2,Bottled Water,114
2023-03,2,Bottled Water,190
2023-04,2,Bottled Water,170
2023-05,2,Bottled Water,188
2023-06,2,Bottled Water,67
2023-07,2,Bottled Water,37
2023-08,2,Bottled Water,38
2023-09,2,Bottled Water,113
2023-10,2,Bottled Water,86
2023-11,2,Bottled Water,98
2023-12,2,Bottled Water,37
2024-01,2,Bottled Water,119
2024-02,2,Bottled Water,64
2024-03,2,Bottled Water,56
2024-04,2,Bottled Water,92
2024-05,2,Bottled Water,66
2024-06,2,Bottled Water,83
2024-07,2,Bottled Water,85
2024-08,2,Bottled Water,59
2024-09,2,Bottled Water,71
2024-10,2,Bottled Water,38
2024-11,2,Bottled Water,42
2024-12,2,Bottled Water,108
