Month,ProductID,Product,UnitsSold
2023-01,9,Hand Sanitizer,70
2023-02,9,Hand Sanitizer,92
2023-03,9,Hand Sanitizer,68
2023-04,9,Hand Sanitizer,71
2023-05,9,Hand Sanitizer,69
2023-06,9,Hand Sanitizer,39
2023-07,9,Hand Sanitizer,29
2023-08,9,Hand Sanitizer,69
2023-09,9,Hand Sanitizer,87
2023-10,9,Hand Sanitizer,88
2023-11,9,Hand Sanitizer,43
2023-12,9,Hand Sanitizer,114
2024-01,9,Hand Sanitizer,100
2024-02,9,Hand Sanitizer,55
2024-03,9,Hand Sanitizer,69
2024-04,9,Hand Sanitizer,106
2024-05,9,Hand Sanitizer,87
2024-06,9,Hand Sanitizer,88
2024-07,9,Hand Sanitizer,120
2024-08,9,Hand Sanitizer,57
2024-09,9,Hand Sanitizer,97
2024-10,9,Hand Sanitizer,37
2024-11,9,Hand Sanitizer,35
2024-12,9,Hand Sanitizer,105
