Month,ProductID,Product,UnitsSold
2023-01,7,Coffee,90
2023-02,7,Coffee,37
2023-03,7,Coffee,95
2023-04,7,Coffee,105
2023-05,7,Coffee,97
2023-06,7,Coffee,126
2023-07,7,Coffee,84
2023-08,7,Coffee,43
2023-09,7,Coffee,114
2023-10,7,Coffee,100
2023-11,7,Coffee,60
2023-12,7,Coffee,68
2024-01,7,Coffee,49
2024-02,7,Coffee,31
2024-03,7,Coffee,44
2024-04,7,Coffee,43
2024-05,7,Coffee,32
2024-06,7,Coffee,110
2024-07,7,Coffee,78
2024-08,7,Coffee,121
2024-09,7,Coffee,102
2024-10,7,Coffee,68
2024-11,7,Coffee,50
2024-12,7,Coffee,114
