Month,ProductID,Product,UnitsSold
2023-01,11,USB Flash Drive,25
2023-02,11,USB Flash Drive,110
2023-03,11,USB Flash Drive,28
2023-04,11,USB Flash Drive,29
2023-05,11,USB Flash Drive,31
2023-06,11,USB Flash Drive,113
2023-07,11,USB Flash Drive,111
2023-08,11,USB Flash Drive,74
2023-09,11,USB Flash Drive,96
2023-10,11,USB Flash Drive,29
2023-11,11,USB Flash Drive,69
2023-12,11,USB Flash Drive,87
2024-01,11,USB Flash Drive,88
2024-02,11,USB Flash Drive,100
2024-03,11,USB Flash Drive,91
2024-04,11,USB Flash Drive,118
2024-05,11,USB Flash Drive,105
2024-06,11,USB Flash Drive,79
2024-07,11,USB Flash Drive,111
2024-08,11,USB Flash Drive,64
2024-09,11,USB Flash Drive,56
2024-10,11,USB Flash Drive,92
2024-11,11,USB Flash Drive,66
2024-12,11,USB Flash Drive,83
