Month,ProductID,Product,UnitsSold
2023-01,14,Bottled Water,180
2023-02,14,Bottled Water,43
2023-03,14,Bottled Water,175
2023-04,14,Bottled Water,195
2023-05,14,Bottled Water,192
2023-06,14,Bottled Water,68
2023-07,14,Bottled Water,108
2023-08,14,Bottled Water,118
2023-09,14,Bottled Water,76
2023-10,14,Bottled Water,50
2023-11,14,Bottled Water,35
2023-12,14,Bottled Water,96
2024-01,14,Bottled Water,36
2024-02,14,Bottled Water,42
2024-03,14,Bottled Water,108
2024-04,14,Bottled Water,100
2024-05,14,Bottled Water,91
2024-06,14,Bottled Water,118
2024-07,14,Bottled Water,105
2024-08,14,Bottled Water,79
2024-09,14,Bottled Water,111
2024-10,14,Bottled Water,64
2024-11,14,Bottled Water,56
2024-12,14,Bottled Water,92
