Month,ProductID,Product,UnitsSold
2023-01,10,Sunglasses,40
2023-02,10,Sunglasses,57
2023-03,10,Sunglasses,37
2023-04,10,Sunglasses,39
2023-05,10,Sunglasses,36
2023-06,10,Sunglasses,71
2023-07,10,Sunglasses,64
2023-08,10,Sunglasses,83
2023-09,10,Sunglasses,103
2023-10,10,Sunglasses,72
2023-11,10,Sunglasses,107
2023-12,10,Sunglasses,33
2024-01,10,Sunglasses,73
2024-02,10,Sunglasses,84
2024-03,10,Sunglasses,34
2024-04,10,Sunglasses,31
2024-05,10,Sunglasses,44
2024-06,10,Sunglasses,43
2024-07,10,Sunglasses,32
2024-08,10,Sunglasses,110
2024-09,10,Sunglasses,78
2024-10,10,Sunglasses,121
2024-11,10,Sunglasses,102
2024-12,10,Sunglasses,68
