Month,ProductID,Product,UnitsSold
2023-01,3,Phone Charger,30
2023-02,3,Phone Charger,59
2023-03,3,Phone Charger,25
2023-04,3,Phone Charger,31
2023-05,3,Phone Charger,32
2023-06,3,Phone Charger,92
2023-07,3,Phone Charger,75
2023-08,3,Phone Charger,77
2023-09,3,Phone Charger,82
2023-10,3,Phone Charger,57
2023-11,3,Phone Charger,88
2023-12,3,Phone Charger,79
2024-01,3,Phone Charger,45
2024-02,3,Phone Charger,88
2024-03,3,Phone Charger,120
2024-04,3,Phone Charger,57
2024-05,3,Phone Charger,97
2024-06,3,Phone Charger,37
2024-07,3,Phone Charger,35
2024-08,3,Phone Charger,105
2024-09,3,Phone Charger,90
2024-10,3,Phone Charger,79
2024-11,3,Phone Charger,76
2024-12,3,Phone Charger,49
