Month,ProductID,Product,UnitsSold
2023-01,13,Snack Pack,140
2023-02,13,Snack Pack,88
2023-03,13,Snack Pack,130
2023-04,13,Snack Pack,135
2023-05,13,Snack Pack,133
2023-06,13,Snack Pack,59
2023-07,13,Snack Pack,76
2023-08,13,Snack Pack,94
2023-09,13,Snack Pack,125
2023-10,13,Snack Pack,111
2023-11,13,Snack Pack,74
2023-12,13,Snack Pack,96
2024-01,13,Snack Pack,109
2024-02,13,Snack Pack,98
2024-03,13,Snack Pack,75
2024-04,13,Snack Pack,84
2024-05,13,Snack Pack,34
2024-06,13,Snack Pack,31
2024-07,13,Snack Pack,44
2024-08,13,Snack Pack,43
2024-09,13,Snack Pack,32
2024-10,13,Snack Pack,110
2024-11,13,Snack Pack,78
2024-12,13,Snack Pack,121
